,artist_name,artist_id,genres,followers,popularity
7hX10nNAnRdIr2byhe4UkT,Legacy ID,Legacy ID,7hX10nNAnRdIr2byhe4UkT,['latvian metal'],"{'href': None, 'total': 76}",0
58nLKpV2WzqCv24LIMpmfL,Survive the Demise,Survive the Demise,58nLKpV2WzqCv24LIMpmfL,['technical thrash'],"{'href': None, 'total': 23}",0
6jsvqe22Ha046StLSJtSQE,Another Perfect Day,Another Perfect Day,6jsvqe22Ha046StLSJtSQE,['german death metal'],"{'href': None, 'total': 387}",0
0BOcbtX2ZH49Iak3zHzyfn,Void Moon,Void Moon,0BOcbtX2ZH49Iak3zHzyfn,"['neo-trad doom metal', 'swedish doom metal']","{'href': None, 'total': 250}",1
5ydFLXKpebvWOxeaS1pLBU,Thornafire,Thornafire,5ydFLXKpebvWOxeaS1pLBU,['chilean metal'],"{'href': None, 'total': 1035}",2
0l1jrWzajNWR9bew7tlTQq,Stridsmenn,Stridsmenn,0l1jrWzajNWR9bew7tlTQq,['norwegian black metal'],"{'href': None, 'total': 373}",0
64HCoW07IHywqXaPikk5Oj,Oak Pantheon,Oak Pantheon,64HCoW07IHywqXaPikk5Oj,"['blackgaze', 'chaotic black metal', 'folk black metal', 'minneapolis metal', 'usbm']","{'href': None, 'total': 4489}",14
7ye1nP2Sz4ILlQ6GW99vJl,Hades Almighty,Hades Almighty,7ye1nP2Sz4ILlQ6GW99vJl,"['norwegian black metal', 'norwegian metal', 'progressive black metal']","{'href': None, 'total': 3783}",3
5dGJLYYScSzfDE1x06enFz,Riftwalker,Riftwalker,5dGJLYYScSzfDE1x06enFz,['progressive technical death metal'],"{'href': None, 'total': 865}",0
2iIVdV7PriN6FluqzeiHPm,Havana Black,Havana Black,2iIVdV7PriN6FluqzeiHPm,"['classic finnish rock', 'finnish hard rock']","{'href': None, 'total': 1809}",8
6ic7EjifpYngFCODdrFLbG,Vitsaus,Vitsaus,6ic7EjifpYngFCODdrFLbG,['finnish black metal'],"{'href': None, 'total': 1639}",2
35vWb9V0iiavZzTGLOhiIu,Hicsos,Hicsos,35vWb9V0iiavZzTGLOhiIu,['brazilian thrash metal'],"{'href': None, 'total': 354}",0
6y0ISjvmW7qMHgrNrzjfq9,Spirit Web,Spirit Web,6y0ISjvmW7qMHgrNrzjfq9,['us power metal'],"{'href': None, 'total': 58}",0
3TLpjFYd00iLKAVDM1U3L1,Descending,Descending,3TLpjFYd00iLKAVDM1U3L1,['gothenburg metal'],"{'href': None, 'total': 765}",3
3bqD2trlpitTy8ODNgnpPm,Ruins of Elysium,Ruins of Elysium,3bqD2trlpitTy8ODNgnpPm,['opera metal'],"{'href': None, 'total': 608}",1
3kh7OT3AyegtCXdU9duw9b,Fides Inversa,Fides Inversa,3kh7OT3AyegtCXdU9duw9b,"['dark black metal', 'italian black metal']","{'href': None, 'total': 3663}",7
36qOXUtUq5HjaP1wet4ePl,Capture,Capture,36qOXUtUq5HjaP1wet4ePl,"['metalcore', 'post-screamo', 'screamo', 'trancecore']","{'href': None, 'total': 64230}",33
2xsCTCxqmR8Np7jayUS3Ls,Jengloth,Jengloth,2xsCTCxqmR8Np7jayUS3Ls,['indonesian death metal'],"{'href': None, 'total': 43}",0
7ompFvxrQb3OQH2eBsB1jD,Frozen Infinity,Frozen Infinity,7ompFvxrQb3OQH2eBsB1jD,['german melodeath'],"{'href': None, 'total': 257}",0
3YanxBR3kXnxLsmxZBZrTz,Space Eater,Space Eater,3YanxBR3kXnxLsmxZBZrTz,"['new wave of speed metal', 'serbian metal']","{'href': None, 'total': 438}",1
3bpue0cLDrDHdEpZCeVBVg,Mega Beardo,Mega Beardo,3bpue0cLDrDHdEpZCeVBVg,['west virginia metal'],"{'href': None, 'total': 140}",10
0h3jARM1bw4vK0poL0zbv3,Consfearacy,Consfearacy,0h3jARM1bw4vK0poL0zbv3,['power thrash'],"{'href': None, 'total': 67}",0
2HLQr8aUMombMeuIEDv6wA,Svalbard,Svalbard,2HLQr8aUMombMeuIEDv6wA,"['blackened hardcore', 'blackened screamo', 'british black metal', 'martial industrial', 'neo-crust']","{'href': None, 'total': 21254}",28
1xA1G7F9hg7Whls5Azz6iD,Svalbard,Svalbard,1xA1G7F9hg7Whls5Azz6iD,['metal noir quebecois'],"{'href': None, 'total': 64}",0
214TfIf82vvw5IfEU6p2h2,Damnations Day,Damnations Day,214TfIf82vvw5IfEU6p2h2,"['australian metal', 'power thrash']","{'href': None, 'total': 921}",2
7t1MMpqoOM7ZBMKztTkzHP,Scourges,SCOURGES,7t1MMpqoOM7ZBMKztTkzHP,['slamming deathcore'],"{'href': None, 'total': 59}",0
515zopjC09hW0QMkhvu1dy,Bohema,Bohema,515zopjC09hW0QMkhvu1dy,['polish indie rock'],"{'href': None, 'total': 133}",0
3RTFz3UY2lf7I7PQbssKYx,Animal Hate,Animal Hate,3RTFz3UY2lf7I7PQbssKYx,['czsk black metal'],"{'href': None, 'total': 27}",0
6eX2DHpm2wDJL3Sm8JHdQS,JonnyX and the Groadies,Jonnyx and the Groadies,6eX2DHpm2wDJL3Sm8JHdQS,['portland metal'],"{'href': None, 'total': 63}",0
4GAi4FXIBb02bU6KJ0f0tY,Lies Beneath,Lies Beneath,4GAi4FXIBb02bU6KJ0f0tY,['thrash-groove metal'],"{'href': None, 'total': 146}",0
