$Greed$,thrash metal//heavy metal
$ilverdollar,power metal//heavy metal
((Thorlock)),sludge metal//stoner metal
(Rabbit),doom metal
(V.E.G.A.),black metal//industrial metal
...,black metal
...Aaaarrghh...,black metal
...But a Thought,progressive metal
...Under a Full Moon,black metal//doom metal
...and Here I Lie,death metal//doom metal
...from the Deep,death metal
...of Celestial,symphonic metal
...of Dream and Drama,death metal//doom metal
.springofdrownedpanda.,sludge metal//doom metal
10 Kingdoms,thrash metal//heavy metal
100 Suns,death metal
1000 A.D.,sludge metal
10Eyes,power metal
11:34,death metal//thrash metal
11th Dimension,progressive metal
122 Stab Wounds,black metal//death metal
13 A.D.,heavy metal
13 Lashes,metalcore metal
13 Left to Die,metalcore metal//thrash metal
13 Winters,black metal//symphonic metal
13-Digits,progressive metal
1349,black metal
13Down,groove metal
13th Cadaver,death metal
13th Level,groove metal//thrash metal
1572,black metal
16,sludge metal
17586063,power metal
18 Speed Tranny,stoner metal//heavy metal
1833 AD,black metal
1931,deathcore metal
1n54n0,metalcore metal
2 Wolves,death metal//gothic metal//doom metal
20 Grit,progressive metal//heavy metal
220 Voltios,heavy metal
23rd Grade of Evil,thrash metal
29Jaguar,death metal
2Est Voo,metalcore metal//death metal
2Excess,progressive metal//gothic metal//doom metal
2nd Heat,heavy metal
3,black metal//industrial metal
3 Inches of Blood,power metal//heavy metal
3 Mexicans from Gorma,stoner metal
3 Times Driven,heavy metal
3/4 Ton,groove metal
300 Cobras,black metal//thrash metal
308,black metal//thrash metal
3405,stoner metal
359,black metal
38DD,thrash metal
3D in Your Face,heavy metal
3Lunas,thrash metal
3rd Machine,industrial metal
3rd Sun,metalcore metal//death metal
40 on the Floor,groove metal//thrash metal
40Gradi,death metal//grindcore metal
44Mag,thrash metal
468,death metal//industrial metal//grindcore metal
4Arm,groove metal//thrash metal
4CDIIH8,groove metal//thrash metal
4evil,metalcore metal
4saken1,gothic metal
4th Dimension,symphonic metal//power metal
54,progressive metal
5th Column,death metal
6 Dynasty,power metal
6 Feet Under,death metal
60 Grit,deathcore metal//death metal
6301719,black metal//doom metal
666,black metal//thrash metal//heavy metal
69,gothic metal//doom metal
6th Counted Murder,death metal//heavy metal
6th Omen,thrash metal//heavy metal
7 Dot Dice,stoner metal
7.5 Tonnes of Beard,sludge metal
7th City Child,heavy metal
7th Sanctum,metalcore metal
7th Son,thrash metal
86 Proof,heavy metal
88MM Metal Bullets,black metal//thrash metal
908,death metal//grindcore metal
999 Society,groove metal//thrash metal
A Balance of Power,metalcore metal//death metal
A Band of Orcs,death metal//thrash metal
A Bloody Epitaph,deathcore metal
A Body Falls,death metal
A Breath Before Surfacing,deathcore metal
A Broken Machine,metalcore metal
A Colour Cold Black,death metal//industrial metal//thrash metal//doom metal
A Cursed Spirit in the Mirror,black metal
A Day in Venice,gothic metal//doom metal
A Dead Lament,metalcore metal//death metal
A Deathwish,death metal
A Deeper Dreed,heavy metal
A Devilish Domain,metalcore metal//death metal
A Distorted Utopia,death metal
A Document Says,sludge metal//experimental metal
A Dying God,black metal//grindcore metal
A Few Moments to Death,death metal
A Fight Called Hope,metalcore metal//death metal
A Foot in the Grave,death metal//thrash metal
A God from the Machine,black metal//progressive metal
A Grave Calling,deathcore metal//death metal//progressive metal
A Greed Science,death metal
A Hellish Digest,black metal//death metal//progressive metal
A Hero for the World,power metal
A Kid Hereafter in the Grinding Light,death metal//avant-garde metal//grindcore metal
A Limbo of Insanity,black metal//doom metal
A Living Burden,metalcore metal//death metal//thrash metal
A Losing Season,death metal
A Mental Disorder,black metal
A Million Miles,stoner metal//heavy metal
A Mind Confused,death metal
A Motive Inhumane,death metal
A Murder of Crows,metalcore metal//thrash metal
A Naked Soul,death metal//doom metal
A New Dawn,gothic metal//heavy metal
A Night in the Abyss,deathcore metal//symphonic metal
A Pale Horse Named Death,gothic metal//doom metal
A Peaceful Chaos,sludge metal//death metal
A Perfect Murder,metalcore metal//groove metal
A Perpetual Dying Mirror,death metal//doom metal
A Pocket Sized Sun,death metal//power metal
A Prison Called Earth,progressive metal
A Psychic Opera,progressive metal//thrash metal
A Sad Bada,sludge metal//doom metal
A Season in Hell,death metal//progressive metal
A Silent Daylight,metalcore metal
A Sound of Thunder,power metal//heavy metal
A Tear Beyond,progressive metal//gothic metal//industrial metal
A Terrible Night for a Curse,death metal//grindcore metal
A Thousand Shields,progressive metal
A Thousand Sufferings,doom metal
A Thousand Years Slavery,deathcore metal//death metal
A Trail of Horror,metalcore metal//death metal
A Transparent Lie,thrash metal
A Very Sad Story,sludge metal//heavy metal
A Waking Nightmare,metalcore metal//grindcore metal
A Walk with the Wicked,groove metal//death metal
A tu Puta Kara,groove metal//thrash metal
A'tak,heavy metal
A-Bros,metalcore metal
A-Team,death metal//grindcore metal
A-Tierra,progressive metal
A. R. Berdiales,heavy metal
A.A.S.,progressive metal
A.B. Spitfire,heavy metal
A.B.E.A.,progressive metal
A.C.O.A.,speed metal
A.C.P.,thrash metal
A.D.P.,doom metal
A.Death.Experience,deathcore metal//death metal
A.G.E,thrash metal
A.M.P.,doom metal
A.M.S.G.,black metal
A.N.D.,heavy metal
A.O.D.,thrash metal
A.R.G.,thrash metal
A.T.T.,progressive metal
A.W.A.S.,death metal//thrash metal
A.c.o.D,black metal//thrash metal
AAAAARGH! Bloody 2-Handed Chainaxe Blow,death metal
ABBand,heavy metal
ABK,groove metal//progressive metal
ADX,heavy metal//speed metal
AM,sludge metal//symphonic metal//progressive metal//experimental metal//doom metal
AMOVR,black metal
ARV,black metal
ATG,thrash metal//heavy metal
AUM,death metal
AXPI,heavy metal
Aardvarks,death metal//thrash metal
Aaronsrod,heavy metal
Aasverus,doom metal
Ab Aeterno,symphonic metal//gothic metal
Ababil,death metal
Abacinate,deathcore metal//thrash metal
Abacinator,thrash metal//speed metal
Abaddon Krist,black metal//symphonic metal
Abandon All Hope,death metal
Abandoned Dreams,black metal//doom metal
Abandoned Stars,progressive metal
Abathor,thrash metal
Abathur,black metal//thrash metal
Abaton,black metal//progressive metal//heavy metal//doom metal
Abattoir,death metal//power metal//heavy metal//speed metal//grindcore metal
Abbadon,black metal//death metal//thrash metal
Abdication,black metal//death metal
Abductor,black metal//death metal//thrash metal
Abdullah,stoner metal//doom metal
Abdunor,black metal
Abel Is Dying,metalcore metal//death metal
Abendland,black metal
Aberathiedeus,black metal
Aberrant Path,black metal
Aberrant Vascular,avant-garde metal
Aberrante,death metal
Aberration Nexus,black metal
Abgabba,death metal
Abgott,black metal
Abhaya,death metal//thrash metal
Abhcan,progressive metal
Abhira,death metal
Abhor,black metal//death metal//doom metal
Abhor Evil,thrash metal
Abhorator,death metal//thrash metal
Abhordium,death metal
Abhorior,black metal//death metal
Abhorrance,death metal//thrash metal
Abhorred Despiser,death metal
Abhorrent Aggression,death metal
Abhorrent Creation,black metal
Abhorrent Forest,black metal
Abhoth,death metal
Abiardh,black metal//death metal
Abiarthar,black metal
Abiathar,black metal
Abighor,power metal//speed metal
Abimelec,death metal//thrash metal
Abinchova,death metal//folk metal
Abiogenesis,thrash metal//heavy metal
Abiosi,thrash metal
Abiotx,thrash metal
Abiozis,black metal
Abismales,thrash metal
Abismo 666,black metal
Abismos,thrash metal
Abjathar,death metal//doom metal
Abject Offering,death metal
Abjury,death metal
Ablach,death metal//grindcore metal
Ablaze in Hatred,death metal//doom metal
Ablepsy,thrash metal//heavy metal
Abnader,black metal//death metal
Abnoba,black metal
Abnutivum,black metal//death metal
Abode,groove metal
Abokajarro,thrash metal
Abola,death metal
Aboleth,stoner metal
Abolisher,death metal
Abolishment of Flesh,death metal
Abolishment of Hate,death metal
Abominable Putridity,death metal
Abominador,black metal//thrash metal
Abomination,black metal//death metal//thrash metal//doom metal//grindcore metal
Abomination Impurity,death metal
Aborigenes,groove metal//thrash metal
Aborior,black metal
Aborted,death metal
Aborted Brains,thrash metal
Aborticide,black metal//death metal//thrash metal
Abortion Autopsy,death metal
Abortion Holocaust,death metal
Abortium,black metal//death metal//thrash metal
Abortus,death metal
Aboutturnn,heavy metal
Above,black metal
Above Christ,black metal//doom metal
Above the Altar,death metal//thrash metal
Above the Mist,thrash metal//speed metal
Above the Rim,death metal
Abracadabra,black metal//symphonic metal//folk metal
Abraham's Meat Plow,groove metal
Abrahel,black metal
Abramelin,black metal//death metal
Abraxas,black metal//death metal//power metal//thrash metal//heavy metal//grindcore metal
Abrego,death metal//progressive metal
Abrin,thrash metal//heavy metal//speed metal
Abrogar,death metal
Abrogate,death metal
Abruptum,black metal//death metal//power metal
Abscendent,death metal//thrash metal
Abscess,black metal//death metal//symphonic metal//thrash metal
Abscess Plague,death metal
Abscond,black metal//doom metal
Absemia,death metal
Absence,death metal//thrash metal
Absent Heat,black metal//experimental metal
Absent Society,metalcore metal//groove metal
Absentia,black metal//death metal//symphonic metal//progressive metal//gothic metal//heavy metal//doom metal//grindcore metal
Abserdo,thrash metal
Abside,death metal//progressive metal//gothic metal//heavy metal
Absinthebolik,death metal
Absinthropy,black metal
Absolute,black metal//death metal//thrash metal//heavy metal
Absolute Darkness,death metal//thrash metal
Absolute Destruction,death metal//thrash metal
Absolute Steel,heavy metal
Absolute Vengeance,death metal//thrash metal
Absolutus,black metal
Absolve,death metal//thrash metal
Absolvtion,black metal//death metal
Absorbcia,death metal
Absorbed by the Fog,black metal//doom metal
Absorbed in Thought,progressive metal//thrash metal
Absorde,death metal
Abstract Putrefaction,death metal
Abstract Rapture,death metal//thrash metal
Abstract Violence,thrash metal
Abstracto,metalcore metal//progressive metal
Abstrakt,black metal//death metal//symphonic metal//progressive metal
Abstraqt,progressive metal
Abstruse Custody,black metal//thrash metal
Absu,black metal//death metal//thrash metal
Absurd Conflict,death metal//thrash metal
Absynt,death metal
Absynth,groove metal//black metal//progressive metal
Absynthium,death metal
Abu Simbel,heavy metal
Abuhlzgal,black metal
Abuse,sludge metal//death metal//heavy metal//grindcore metal
Abused,death metal//thrash metal
Abuser,thrash metal
Abusus,black metal
Abutre,heavy metal
Abvulabashy,black metal
Abwhore,gothic metal
Abygor,black metal
Abysal,death metal
Abysmal Desolation,black metal
Abysmal Grief,doom metal
Abysmal Growls of Despair,doom metal
Abysmal Hate,black metal
Abysmal Hatred,death metal
Abysmal Silence,black metal
Abyss of Eden,metalcore metal//death metal
Abyss of Fear,thrash metal
Abyss of Perdition,death metal
Abyssal Ascendant,death metal
Abyssic Hate,black metal
Abyssum,black metal
Abyssus,black metal//death metal//pagan metal
Abystic Ritual,black metal//death metal
Abyzmal,thrash metal
Acacia,black metal//death metal//symphonic metal//progressive metal//heavy metal//doom metal
Academy Black,thrash metal
Acanthostega,black metal
Acanthrophis,black metal//death metal
Acarus Sarcopt,black metal
Acatalepsy,death metal
Acatonia,progressive metal
Accept Death,sludge metal
Accidental Death,death metal//grindcore metal
Accretion Disk,progressive metal
Accursed Aeons,black metal
Ace,heavy metal
Acefalia,death metal
Acendra,power metal
Acephalous,black metal//death metal
Aceptic Goitre,death metal
Acer Fury,heavy metal
Acerbitas,black metal
Acero,heavy metal
Acerose,metalcore metal//death metal
Acess,heavy metal
Acetic Voice,thrash metal
Aceton,thrash metal
Acetylene,thrash metal//speed metal
Achale,black metal
Acherontas,black metal
Acherontia,sludge metal//stoner metal
Acherusia,black metal//death metal
Achokarlos,death metal//progressive metal
Achronica,metalcore metal
Achyronthia,death metal
Acid Angel,thrash metal
Acid Death,death metal//progressive metal//thrash metal
Acid Evil,thrash metal
Acid King,stoner metal//doom metal
Acid Rain Dance,thrash metal
Acid Universe,death metal
Acidity,thrash metal
Acido,thrash metal//heavy metal
Ackros,death metal//progressive metal
Acme,metalcore metal//sludge metal//death metal
Acolytes,death metal
Aconit Napel,thrash metal//heavy metal
Acracia,heavy metal
Acranius,death metal
Acrasia,progressive metal
Acrassicauda,groove metal//thrash metal
Acratas,thrash metal
Acrid,death metal//progressive metal//thrash metal//heavy metal
Acrid Foetor,death metal//grindcore metal
Acrid Tones,progressive metal
Acriminous,death metal
Acrimonious,black metal//death metal//thrash metal
Acrimonius,thrash metal
Acritarch,industrial metal
Acriter,metalcore metal//black metal//death metal//progressive metal//thrash metal
Acroholia,death metal//grindcore metal
Acrolith,gothic metal
Acromatopsy,death metal//thrash metal//grindcore metal
Acromion,deathcore metal//death metal//thrash metal
Acromizer,thrash metal
Acron,progressive metal//heavy metal
Across Tundras,stoner metal//progressive metal//doom metal
Across the Scarlet Moat,doom metal
Across the Shade,death metal
Acrossanity,death metal
Acryptylyse,black metal
Act of Anger,thrash metal//heavy metal
Act of Defiance,thrash metal
Act of Impalement,black metal//death metal//doom metal
Act of State,power metal//heavy metal
Act of Violence,metalcore metal//thrash metal
Act of War,death metal
Acteron,black metal//folk metal
Activated Carbon,gothic metal
Activator,power metal//thrash metal//heavy metal
Acts of Atrocity,death metal
Acts of Suffering,death metal
Acualli,black metal//death metal
Acumen,heavy metal
Ad Honorem,viking metal//folk metal
Ad Infernum,black metal
Ad Infinitum,black metal//death metal//gothic metal//heavy metal
Ad Nauseam,black metal//death metal
Ad Noctem,black metal
Ad Noctum,black metal//death metal//doom metal
Ad Sidera,death metal//progressive metal
Adagio,death metal//symphonic metal//progressive metal//doom metal
Adagio Funebre,black metal//death metal//heavy metal//doom metal
Adaia,power metal
Adalruna,black metal
Adam R. Bissing,progressive metal
Adam Shepard,power metal//folk metal
Adamanthium,heavy metal
Adamantia,symphonic metal//power metal
Adamantio,thrash metal
Adamantra,power metal//progressive metal
Adamenth,heavy metal
Adamind,progressive metal
Adamus Exul,black metal
Adaptor,death metal//thrash metal
Addaura,black metal
Addergebroed,pagan metal//folk metal
Addiction of a Murderer,death metal
Adeia,progressive metal
Adelaide,deathcore metal
Aderlass,black metal//death metal
Adetar,death metal
Adh Seidh,black metal//gothic metal
Adhuk,black metal
Adiaphoria,progressive metal
Adiastasia,power metal
Adimiron Sphere,black metal//doom metal
Adioses,power metal//thrash metal
Adivarius,gothic metal
Adkan,black metal
Admarsior,black metal//pagan metal
Admonish,black metal
Adolf Satan,sludge metal//doom metal
Adolfkvlt,black metal
Adonai Sathanas,black metal
Ador Dorath,black metal//gothic metal
Adora Vivos,progressive metal//doom metal
Adoration,gothic metal//heavy metal
Adoria,black metal
Adorior,black metal//death metal//thrash metal
Adorned in Ash,black metal//death metal
Adragard,black metal
Adramelch,power metal//progressive metal
Adrenal Asphyxia,groove metal//death metal
Adrian Phoenix,power metal
Adsecula,groove metal//death metal
Adultery,black metal//death metal//folk metal
Advena,black metal
Adventure,heavy metal
Adversity,black metal//death metal//thrash metal
Adviser,black metal//death metal
Advocate,power metal//thrash metal
Adyton,black metal
Adytum,black metal//death metal//progressive metal
Aecron,black metal//death metal//thrash metal
Aedra,sludge metal
Aedy,folk metal
Aegirson,gothic metal//heavy metal
Aeglos,death metal//heavy metal
Aeglyss,groove metal//death metal//thrash metal
Aegrimonia,black metal
Aegrotum,black metal
Aegrum,black metal//pagan metal
Aeklypsis,death metal//progressive metal//folk metal
Aella,heavy metal
Aemerald,symphonic metal//power metal//heavy metal
Aenea,death metal//progressive metal
