!T.O.O.H.!,death metal//progressive metal//grindcore metal
$uicide $olution,heavy metal
'. . . [l]ight am I' . . .,black metal
'Neath,death metal//progressive metal
(((...))),doom metal
((Auman)),stoner metal//heavy metal
(Deadly) Silence,groove metal//thrash metal
(Jhator),death metal
(Sworn),progressive metal
(drama),sludge metal//doom metal
(god-rot),death metal//progressive metal//grindcore metal
(sic),death metal
)October(,black metal
+3 Broadsword,black metal
...Do Fundo... Abismo,death metal//doom metal
...Sick of Life,black metal
...and They Will Meet God,death metal
...dieses,black metal
...in Her Lie,gothic metal//doom metal
...of the Human Condition,death metal//gothic metal
...on the Night,black metal//death metal
.357,black metal//grindcore metal
.357 Soundsystem,groove metal//death metal
.F.O.A.D.,death metal
.Nema,black metal
0 Zone,death metal//thrash metal
0N0,death metal//industrial metal//experimental metal//doom metal
1 Shot Kill,groove metal//death metal
100 Knives Inside,death metal//progressive metal
1000 Bombs,thrash metal
1000 Kadaveres,death metal
1000 Odios,death metal//thrash metal
1000 Sins,metalcore metal
1000 Yard Stare,groove metal//death metal//doom metal
100000 Tonnen Kruppstahl,grindcore metal
1000Dead,metalcore metal//groove metal//thrash metal
1080,groove metal//thrash metal
11 Paranoias,sludge metal//doom metal
12 Days of Anarchy,death metal
12 Eyes,sludge metal
12 Gauge,metalcore metal//groove metal//thrash metal
12 Gauge Dead,death metal//thrash metal
12.7,death metal//thrash metal
12th Ode,heavy metal
13,sludge metal//doom metal
13 Days Before Suicide,death metal
13 Mag,groove metal
1369,groove metal//thrash metal
137,sludge metal//doom metal
1389,black metal
13Even,thrash metal
13Rituals,deathcore metal
13th Embodiment,death metal
13th Knot,power metal//heavy metal
13th Moon,black metal//death metal
13th Temple,black metal//doom metal
14-22,heavy metal
14/88,black metal
14120912519,black metal//experimental metal
15 Times Dead,groove metal//thrash metal
17Days,doom metal
18 Wheels of Justice,metalcore metal//thrash metal
1837,black metal//folk metal
1879,black metal
1914,death metal//doom metal
1970,stoner metal
1:34,death metal
